cohort_month,activity_month,cohort_period_month,cohort_customers,retained_customers,inactive_from_cohort,retention_rate_pct
2014-04-01,2017-02-01,34,56,3,53,5.36
2014-04-01,2017-03-01,35,56,14,42,25.0
2014-04-01,2017-04-01,36,56,3,53,5.36
2014-04-01,2017-05-01,37,56,11,45,19.64
2014-04-01,2017-06-01,38,56,5,51,8.93
2014-04-01,2017-07-01,39,56,7,49,12.5
2014-04-01,2017-08-01,40,56,8,48,14.29
2014-04-01,2017-09-01,41,56,15,41,26.79
2014-04-01,2017-10-01,42,56,8,48,14.29
2014-04-01,2017-11-01,43,56,14,42,25.0
2014-04-01,2017-12-01,44,56,14,42,25.0
2014-05-01,2014-05-01,0,56,56,0,100.0
2014-05-01,2014-06-01,1,56,5,51,8.93
2014-05-01,2014-07-01,2,56,5,51,8.93
2014-05-01,2014-08-01,3,56,4,52,7.14
2014-05-01,2014-09-01,4,56,10,46,17.86
2014-05-01,2014-10-01,5,56,2,54,3.57
2014-05-01,2014-11-01,6,56,12,44,21.43
2014-05-01,2014-12-01,7,56,10,46,17.86
2014-05-01,2015-01-01,8,56,4,52,7.14
2014-05-01,2015-02-01,9,56,3,53,5.36
2014-05-01,2015-03-01,10,56,4,52,7.14
2014-05-01,2015-04-01,11,56,7,49,12.5
2014-05-01,2015-05-01,12,56,2,54,3.57
2014-05-01,2015-06-01,13,56,5,51,8.93
2014-05-01,2015-07-01,14,56,2,54,3.57
2014-05-01,2015-08-01,15,56,5,51,8.93
2014-05-01,2015-09-01,16,56,8,48,14.29
2014-05-01,2015-10-01,17,56,6,50,10.71
2014-05-01,2015-11-01,18,56,11,45,19.64
2014-05-01,2015-12-01,19,56,8,48,14.29
2014-05-01,2016-01-01,20,56,5,51,8.93
2014-05-01,2016-02-01,21,56,2,54,3.57
2014-05-01,2016-03-01,22,56,3,53,5.36
2014-05-01,2016-04-01,23,56,7,49,12.5
2014-05-01,2016-05-01,24,56,7,49,12.5
2014-05-01,2016-06-01,25,56,5,51,8.93
2014-05-01,2016-07-01,26,56,5,51,8.93
2014-05-01,2016-08-01,27,56,4,52,7.14
2014-05-01,2016-09-01,28,56,11,45,19.64
2014-05-01,2016-10-01,29,56,8,48,14.29
2014-05-01,2016-11-01,30,56,13,43,23.21
2014-05-01,2016-12-01,31,56,13,43,23.21
2014-05-01,2017-01-01,32,56,4,52,7.14
2014-05-01,2017-02-01,33,56,3,53,5.36
2014-05-01,2017-03-01,34,56,3,53,5.36
2014-05-01,2017-04-01,35,56,5,51,8.93
2014-05-01,2017-05-01,36,56,4,52,7.14
2014-05-01,2017-06-01,37,56,11,45,19.64
2014-05-01,2017-07-01,38,56,7,49,12.5
2014-05-01,2017-08-01,39,56,6,50,10.71
2014-05-01,2017-09-01,40,56,16,40,28.57
2014-05-01,2017-10-01,41,56,7,49,12.5
2014-05-01,2017-11-01,42,56,17,39,30.36
2014-05-01,2017-12-01,43,56,9,47,16.07
2014-06-01,2014-06-01,0,48,48,0,100.0
2014-06-01,2014-07-01,1,48,1,47,2.08
2014-06-01,2014-08-01,2,48,2,46,4.17
2014-06-01,2014-09-01,3,48,4,44,8.33
2014-06-01,2014-10-01,4,48,2,46,4.17
2014-06-01,2014-11-01,5,48,9,39,18.75
2014-06-01,2014-12-01,6,48,8,40,16.67
2014-06-01,2015-01-01,7,48,1,47,2.08
2014-06-01,2015-02-01,8,48,4,44,8.33
2014-06-01,2015-03-01,9,48,6,42,12.5
2014-06-01,2015-04-01,10,48,5,43,10.42
2014-06-01,2015-05-01,11,48,5,43,10.42
2014-06-01,2015-06-01,12,48,3,45,6.25
2014-06-01,2015-07-01,13,48,4,44,8.33
2014-06-01,2015-08-01,14,48,7,41,14.58
2014-06-01,2015-09-01,15,48,5,43,10.42
2014-06-01,2015-10-01,16,48,7,41,14.58
2014-06-01,2015-11-01,17,48,16,32,33.33
2014-06-01,2015-12-01,18,48,9,39,18.75
2014-06-01,2016-01-01,19,48,3,45,6.25
2014-06-01,2016-02-01,20,48,2,46,4.17
2014-06-01,2016-03-01,21,48,9,39,18.75
2014-06-01,2016-04-01,22,48,5,43,10.42
2014-06-01,2016-05-01,23,48,4,44,8.33
2014-06-01,2016-06-01,24,48,5,43,10.42
2014-06-01,2016-07-01,25,48,4,44,8.33
2014-06-01,2016-08-01,26,48,2,46,4.17
2014-06-01,2016-09-01,27,48,11,37,22.92
2014-06-01,2016-10-01,28,48,10,38,20.83
2014-06-01,2016-11-01,29,48,7,41,14.58
2014-06-01,2016-12-01,30,48,14,34,29.17
2014-06-01,2017-01-01,31,48,3,45,6.25
2014-06-01,2017-02-01,32,48,3,45,6.25
2014-06-01,2017-03-01,33,48,4,44,8.33
2014-06-01,2017-04-01,34,48,6,42,12.5
2014-06-01,2017-05-01,35,48,9,39,18.75
2014-06-01,2017-06-01,36,48,9,39,18.75
2014-06-01,2017-07-01,37,48,5,43,10.42
2014-06-01,2017-08-01,38,48,3,45,6.25
2014-06-01,2017-09-01,39,48,13,35,27.08
2014-06-01,2017-10-01,40,48,7,41,14.58
2014-06-01,2017-11-01,41,48,14,34,29.17
2014-06-01,2017-12-01,42,48,11,37,22.92
2014-07-01,2014-07-01,0,44,44,0,100.0
2014-07-01,2014-08-01,1,44,6,38,13.64
2014-07-01,2014-09-01,2,44,5,39,11.36
2014-07-01,2014-11-01,4,44,5,39,11.36
2014-07-01,2014-12-01,5,44,8,36,18.18
2014-07-01,2015-01-01,6,44,2,42,4.55
2014-07-01,2015-03-01,8,44,8,36,18.18
2014-07-01,2015-04-01,9,44,2,42,4.55
2014-07-01,2015-05-01,10,44,7,37,15.91
2014-07-01,2015-06-01,11,44,7,37,15.91
2014-07-01,2015-07-01,12,44,5,39,11.36
2014-07-01,2015-09-01,14,44,5,39,11.36
2014-07-01,2015-10-01,15,44,4,40,9.09
2014-07-01,2015-11-01,16,44,6,38,13.64
2014-07-01,2015-12-01,17,44,7,37,15.91
2014-07-01,2016-01-01,18,44,2,42,4.55
2014-07-01,2016-02-01,19,44,2,42,4.55
2014-07-01,2016-03-01,20,44,4,40,9.09
2014-07-01,2016-04-01,21,44,5,39,11.36
2014-07-01,2016-05-01,22,44,6,38,13.64
2014-07-01,2016-06-01,23,44,6,38,13.64
2014-07-01,2016-07-01,24,44,4,40,9.09
2014-07-01,2016-08-01,25,44,9,35,20.45
2014-07-01,2016-09-01,26,44,7,37,15.91
2014-07-01,2016-10-01,27,44,6,38,13.64
2014-07-01,2016-11-01,28,44,11,33,25.0
2014-07-01,2016-12-01,29,44,10,34,22.73
2014-07-01,2017-01-01,30,44,3,41,6.82
2014-07-01,2017-02-01,31,44,7,37,15.91
2014-07-01,2017-03-01,32,44,4,40,9.09
2014-07-01,2017-04-01,33,44,6,38,13.64
2014-07-01,2017-05-01,34,44,7,37,15.91
2014-07-01,2017-06-01,35,44,9,35,20.45
2014-07-01,2017-07-01,36,44,4,40,9.09
2014-07-01,2017-08-01,37,44,6,38,13.64
2014-07-01,2017-09-01,38,44,11,33,25.0
2014-07-01,2017-10-01,39,44,10,34,22.73
2014-07-01,2017-11-01,40,44,13,31,29.55
2014-07-01,2017-12-01,41,44,9,35,20.45
2014-08-01,2014-08-01,0,49,49,0,100.0
2014-08-01,2014-09-01,1,49,8,41,16.33
2014-08-01,2014-10-01,2,49,3,46,6.12
2014-08-01,2014-11-01,3,49,11,38,22.45
2014-08-01,2014-12-01,4,49,5,44,10.2
2014-08-01,2015-01-01,5,49,3,46,6.12
2014-08-01,2015-02-01,6,49,4,45,8.16
2014-08-01,2015-03-01,7,49,2,47,4.08
2014-08-01,2015-04-01,8,49,4,45,8.16
2014-08-01,2015-05-01,9,49,3,46,6.12
2014-08-01,2015-06-01,10,49,5,44,10.2
2014-08-01,2015-07-01,11,49,6,43,12.24
2014-08-01,2015-08-01,12,49,2,47,4.08
2014-08-01,2015-09-01,13,49,9,40,18.37
2014-08-01,2015-10-01,14,49,6,43,12.24
2014-08-01,2015-11-01,15,49,8,41,16.33
2014-08-01,2015-12-01,16,49,13,36,26.53
2014-08-01,2016-01-01,17,49,2,47,4.08
2014-08-01,2016-02-01,18,49,1,48,2.04
2014-08-01,2016-03-01,19,49,4,45,8.16
2014-08-01,2016-04-01,20,49,3,46,6.12
2014-08-01,2016-05-01,21,49,7,42,14.29
2014-08-01,2016-06-01,22,49,6,43,12.24
2014-08-01,2016-07-01,23,49,7,42,14.29
2014-08-01,2016-08-01,24,49,9,40,18.37
2014-08-01,2016-09-01,25,49,15,34,30.61
2014-08-01,2016-10-01,26,49,5,44,10.2
2014-08-01,2016-11-01,27,49,11,38,22.45
2014-08-01,2016-12-01,28,49,11,38,22.45
2014-08-01,2017-01-01,29,49,2,47,4.08
2014-08-01,2017-02-01,30,49,4,45,8.16
2014-08-01,2017-03-01,31,49,3,46,6.12
2014-08-01,2017-04-01,32,49,8,41,16.33
2014-08-01,2017-05-01,33,49,7,42,14.29
2014-08-01,2017-06-01,34,49,7,42,14.29
2014-08-01,2017-07-01,35,49,9,40,18.37
2014-08-01,2017-08-01,36,49,8,41,16.33
2014-08-01,2017-09-01,37,49,9,40,18.37
2014-08-01,2017-10-01,38,49,12,37,24.49
2014-08-01,2017-11-01,39,49,11,38,22.45
2014-08-01,2017-12-01,40,49,10,39,20.41
2014-09-01,2014-09-01,0,68,68,0,100.0
2014-09-01,2014-10-01,1,68,9,59,13.24
2014-09-01,2014-11-01,2,68,9,59,13.24
2014-09-01,2014-12-01,3,68,11,57,16.18
2014-09-01,2015-01-01,4,68,1,67,1.47
2014-09-01,2015-02-01,5,68,2,66,2.94
2014-09-01,2015-03-01,6,68,9,59,13.24
2014-09-01,2015-04-01,7,68,10,58,14.71
2014-09-01,2015-05-01,8,68,9,59,13.24
2014-09-01,2015-06-01,9,68,2,66,2.94
2014-09-01,2015-07-01,10,68,6,62,8.82
2014-09-01,2015-08-01,11,68,8,60,11.76
2014-09-01,2015-09-01,12,68,12,56,17.65
2014-09-01,2015-10-01,13,68,6,62,8.82
2014-09-01,2015-11-01,14,68,13,55,19.12
2014-09-01,2015-12-01,15,68,15,53,22.06
2014-09-01,2016-01-01,16,68,2,66,2.94
2014-09-01,2016-02-01,17,68,5,63,7.35
2014-09-01,2016-03-01,18,68,9,59,13.24
2014-09-01,2016-04-01,19,68,5,63,7.35
2014-09-01,2016-05-01,20,68,9,59,13.24
2014-09-01,2016-06-01,21,68,8,60,11.76
2014-09-01,2016-07-01,22,68,7,61,10.29
2014-09-01,2016-08-01,23,68,4,64,5.88
2014-09-01,2016-09-01,24,68,12,56,17.65
2014-09-01,2016-10-01,25,68,3,65,4.41
2014-09-01,2016-11-01,26,68,15,53,22.06
2014-09-01,2016-12-01,27,68,13,55,19.12
2014-09-01,2017-01-01,28,68,3,65,4.41
2014-09-01,2017-02-01,29,68,2,66,2.94
2014-09-01,2017-03-01,30,68,9,59,13.24
2014-09-01,2017-04-01,31,68,9,59,13.24
2014-09-01,2017-05-01,32,68,8,60,11.76
2014-09-01,2017-06-01,33,68,11,57,16.18
2014-09-01,2017-07-01,34,68,13,55,19.12
2014-09-01,2017-08-01,35,68,9,59,13.24
2014-09-01,2017-09-01,36,68,15,53,22.06
2014-09-01,2017-10-01,37,68,10,58,14.71
2014-09-01,2017-11-01,38,68,16,52,23.53
2014-09-01,2017-12-01,39,68,12,56,17.65
2014-10-01,2014-10-01,0,42,42,0,100.0
2014-10-01,2014-11-01,1,42,3,39,7.14
2014-10-01,2014-12-01,2,42,5,37,11.9
2014-10-01,2015-01-01,3,42,1,41,2.38
2014-10-01,2015-02-01,4,42,3,39,7.14
2014-10-01,2015-03-01,5,42,4,38,9.52
2014-10-01,2015-04-01,6,42,5,37,11.9
2014-10-01,2015-05-01,7,42,4,38,9.52
2014-10-01,2015-06-01,8,42,3,39,7.14
2014-10-01,2015-07-01,9,42,4,38,9.52
2014-10-01,2015-08-01,10,42,4,38,9.52
2014-10-01,2015-09-01,11,42,7,35,16.67
2014-10-01,2015-10-01,12,42,4,38,9.52
2014-10-01,2015-11-01,13,42,8,34,19.05
2014-10-01,2015-12-01,14,42,5,37,11.9
2014-10-01,2016-01-01,15,42,2,40,4.76
2014-10-01,2016-02-01,16,42,3,39,7.14
2014-10-01,2016-03-01,17,42,4,38,9.52
2014-10-01,2016-04-01,18,42,7,35,16.67
2014-10-01,2016-05-01,19,42,9,33,21.43
2014-10-01,2016-06-01,20,42,5,37,11.9
2014-10-01,2016-07-01,21,42,4,38,9.52
2014-10-01,2016-08-01,22,42,5,37,11.9
2014-10-01,2016-09-01,23,42,10,32,23.81
2014-10-01,2016-10-01,24,42,7,35,16.67
2014-10-01,2016-11-01,25,42,5,37,11.9
2014-10-01,2016-12-01,26,42,7,35,16.67
2014-10-01,2017-01-01,27,42,3,39,7.14
2014-10-01,2017-02-01,28,42,4,38,9.52
2014-10-01,2017-03-01,29,42,6,36,14.29
2014-10-01,2017-04-01,30,42,5,37,11.9
2014-10-01,2017-05-01,31,42,7,35,16.67
2014-10-01,2017-06-01,32,42,10,32,23.81
2014-10-01,2017-07-01,33,42,8,34,19.05
2014-10-01,2017-08-01,34,42,4,38,9.52
2014-10-01,2017-09-01,35,42,11,31,26.19
2014-10-01,2017-10-01,36,42,7,35,16.67
2014-10-01,2017-11-01,37,42,13,29,30.95
2014-10-01,2017-12-01,38,42,14,28,33.33
2014-11-01,2014-11-01,0,62,62,0,100.0
2014-11-01,2014-12-01,1,62,15,47,24.19
2014-11-01,2015-02-01,3,62,3,59,4.84
2014-11-01,2015-03-01,4,62,5,57,8.06
2014-11-01,2015-04-01,5,62,4,58,6.45
2014-11-01,2015-05-01,6,62,2,60,3.23
2014-11-01,2015-06-01,7,62,6,56,9.68
2014-11-01,2015-07-01,8,62,3,59,4.84
2014-11-01,2015-08-01,9,62,5,57,8.06
2014-11-01,2015-09-01,10,62,11,51,17.74
2014-11-01,2015-10-01,11,62,5,57,8.06
2014-11-01,2015-11-01,12,62,13,49,20.97
2014-11-01,2015-12-01,13,62,15,47,24.19
2014-11-01,2016-01-01,14,62,2,60,3.23
2014-11-01,2016-02-01,15,62,4,58,6.45
2014-11-01,2016-03-01,16,62,5,57,8.06
2014-11-01,2016-04-01,17,62,8,54,12.9
2014-11-01,2016-05-01,18,62,3,59,4.84
2014-11-01,2016-06-01,19,62,6,56,9.68
2014-11-01,2016-07-01,20,62,7,55,11.29
2014-11-01,2016-08-01,21,62,5,57,8.06
2014-11-01,2016-09-01,22,62,16,46,25.81
2014-11-01,2016-10-01,23,62,6,56,9.68
2014-11-01,2016-11-01,24,62,10,52,16.13
2014-11-01,2016-12-01,25,62,14,48,22.58
2014-11-01,2017-01-01,26,62,4,58,6.45
2014-11-01,2017-02-01,27,62,2,60,3.23
2014-11-01,2017-03-01,28,62,13,49,20.97
2014-11-01,2017-04-01,29,62,12,50,19.35
2014-11-01,2017-05-01,30,62,11,51,17.74
2014-11-01,2017-06-01,31,62,7,55,11.29
2014-11-01,2017-07-01,32,62,5,57,8.06
2014-11-01,2017-08-01,33,62,9,53,14.52
2014-11-01,2017-09-01,34,62,14,48,22.58
2014-11-01,2017-10-01,35,62,12,50,19.35
2014-11-01,2017-11-01,36,62,19,43,30.65
2014-11-01,2017-12-01,37,62,22,40,35.48
2014-12-01,2014-12-01,0,49,49,0,100.0
2014-12-01,2015-01-01,1,49,3,46,6.12
2014-12-01,2015-02-01,2,49,4,45,8.16
2014-12-01,2015-03-01,3,49,4,45,8.16
2014-12-01,2015-04-01,4,49,2,47,4.08
2014-12-01,2015-05-01,5,49,3,46,6.12
2014-12-01,2015-06-01,6,49,4,45,8.16
2014-12-01,2015-07-01,7,49,6,43,12.24
2014-12-01,2015-08-01,8,49,5,44,10.2
2014-12-01,2015-09-01,9,49,9,40,18.37
2014-12-01,2015-10-01,10,49,6,43,12.24
2014-12-01,2015-11-01,11,49,6,43,12.24
2014-12-01,2015-12-01,12,49,9,40,18.37
2014-12-01,2016-01-01,13,49,4,45,8.16
2014-12-01,2016-02-01,14,49,1,48,2.04
2014-12-01,2016-03-01,15,49,5,44,10.2
2014-12-01,2016-04-01,16,49,6,43,12.24
2014-12-01,2016-05-01,17,49,5,44,10.2
2014-12-01,2016-06-01,18,49,6,43,12.24
2014-12-01,2016-07-01,19,49,6,43,12.24
2014-12-01,2016-08-01,20,49,7,42,14.29
2014-12-01,2016-09-01,21,49,12,37,24.49
2014-12-01,2016-10-01,22,49,4,45,8.16
2014-12-01,2016-11-01,23,49,12,37,24.49
2014-12-01,2016-12-01,24,49,12,37,24.49
2014-12-01,2017-01-01,25,49,4,45,8.16
2014-12-01,2017-02-01,26,49,3,46,6.12
2014-12-01,2017-03-01,27,49,4,45,8.16
2014-12-01,2017-04-01,28,49,5,44,10.2
2014-12-01,2017-05-01,29,49,8,41,16.33
2014-12-01,2017-06-01,30,49,7,42,14.29
2014-12-01,2017-07-01,31,49,7,42,14.29
2014-12-01,2017-08-01,32,49,9,40,18.37
2014-12-01,2017-09-01,33,49,10,39,20.41
2014-12-01,2017-10-01,34,49,9,40,18.37
2014-12-01,2017-11-01,35,49,15,34,30.61
2014-12-01,2017-12-01,36,49,15,34,30.61
2015-01-01,2015-01-01,0,7,7,0,100.0
2015-01-01,2015-03-01,2,7,1,6,14.29
2015-01-01,2015-05-01,4,7,1,6,14.29
2015-01-01,2015-06-01,5,7,1,6,14.29
2015-01-01,2015-07-01,6,7,2,5,28.57
2015-01-01,2015-10-01,9,7,1,6,14.29
2015-01-01,2015-11-01,10,7,1,6,14.29
2015-01-01,2015-12-01,11,7,1,6,14.29
2015-01-01,2016-01-01,12,7,1,6,14.29
2015-01-01,2016-04-01,15,7,1,6,14.29
2015-01-01,2016-05-01,16,7,1,6,14.29
2015-01-01,2016-08-01,19,7,1,6,14.29
2015-01-01,2016-10-01,21,7,1,6,14.29
2015-01-01,2016-11-01,22,7,2,5,28.57
2015-01-01,2017-02-01,25,7,1,6,14.29
2015-01-01,2017-03-01,26,7,2,5,28.57
2015-01-01,2017-04-01,27,7,2,5,28.57
2015-01-01,2017-05-01,28,7,2,5,28.57
2015-01-01,2017-06-01,29,7,1,6,14.29
2015-01-01,2017-07-01,30,7,1,6,14.29
2015-01-01,2017-08-01,31,7,1,6,14.29
2015-01-01,2017-10-01,33,7,2,5,28.57
2015-01-01,2017-12-01,35,7,1,6,14.29
2015-02-01,2015-02-01,0,7,7,0,100.0
2015-02-01,2015-04-01,2,7,1,6,14.29
2015-02-01,2015-07-01,5,7,1,6,14.29
2015-02-01,2015-09-01,7,7,2,5,28.57
2015-02-01,2015-12-01,10,7,1,6,14.29
2015-02-01,2016-02-01,12,7,1,6,14.29
2015-02-01,2016-07-01,17,7,2,5,28.57
2015-02-01,2016-09-01,19,7,1,6,14.29
2015-02-01,2016-10-01,20,7,1,6,14.29
2015-02-01,2016-11-01,21,7,1,6,14.29
2015-02-01,2016-12-01,22,7,1,6,14.29
2015-02-01,2017-01-01,23,7,1,6,14.29
2015-02-01,2017-04-01,26,7,1,6,14.29
2015-02-01,2017-05-01,27,7,4,3,57.14
2015-02-01,2017-08-01,30,7,2,5,28.57
